scope,model_id,family,description,n_splits,mean_top5_capture,median_top5_capture,min_top5_capture,mean_top5_ndcg,mean_spearman,hardest_split_family,hardest_heldout_period,hardest_split_role
all,H4_activated_law,direct_law,hand-built activated bottleneck score,13,1,1,1,1,0.6323281511,calendar_year_group,year_2019,confounded_year_audit
all,R2_full_additive,trained_surrogate,full additive action-value surrogate,13,0.9664146682,0.975165705,0.9409523953,0.9648014344,0.930668364,calendar_day_phase,late_month,supporting_calendar_phase
all,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,13,0.9559247393,0.959321983,0.9224483592,0.9503088018,0.930533491,calendar_day_phase,late_month,supporting_calendar_phase
all,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,13,0.9387815199,0.9380571733,0.9096416955,0.9287385518,0.6471116775,calendar_year_group,year_2024,confounded_year_audit
all,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,13,0.9325336766,0.9303193795,0.9073554907,0.9314147223,0.646998521,within_city_forward_cut,after_50pct,forward_chronological_audit
all,H2_exposure_only,heuristic,OD exposure-only one-factor score,13,0.870387779,0.8702269514,0.8085829157,0.8601705336,0.3472221102,calendar_year_group,year_2023,confounded_year_audit
all,H1_deficit_only,heuristic,deficit-only one-factor score,13,0.8497700143,0.8508936775,0.8274342582,0.8418222072,0.2586505371,calendar_year_group,year_2023,confounded_year_audit
all,H3_structure_only,heuristic,static structure-only one-factor score,13,0.4996120572,0.5064934021,0.4117391294,0.4831081792,-0.04459647666,calendar_year_group,year_2023,confounded_year_audit
forward,H4_activated_law,direct_law,hand-built activated bottleneck score,2,1,1,1,1,0.653233486,within_city_forward_cut,after_50pct,forward_chronological_audit
forward,R2_full_additive,trained_surrogate,full additive action-value surrogate,2,0.9569307862,0.9569307862,0.9544721132,0.9529819412,0.9514679938,within_city_forward_cut,after_67pct,forward_chronological_audit
forward,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,2,0.9450550115,0.9450550115,0.9435666915,0.9394109422,0.9528115885,within_city_forward_cut,after_67pct,forward_chronological_audit
