city,event_id,event_start,event_total_precip,event_peak_precip,event_peak_positive_abnormal_deficit,baseline_objective,recoverable_fraction,event_year,event_month,event_day,event_hour,event_key,within_city_event_count,within_city_order_index,within_city_order_rank,within_city_order_tertile,within_city_order_half,calendar_day_phase,calendar_year_group,temporal_confounding_note
Austin,478,2024-07-06 17:00:00,1.27165423,1.01574858,0.02623511767,0.1342685328,0.1077933755,2024,2024-07,6,17,Austin||478,15,0,0.03333333333,early_tertile,early_half,early_month,year_2024,year_2024_contains_austin_san_antonio
Austin,479,2024-07-12 13:00:00,0.01574804,0.01574804,0.02521753832,0.1559423619,0.1295473124,2024,2024-07,12,13,Austin||479,15,1,0.1,early_tertile,early_half,middle_month,year_2024,year_2024_contains_austin_san_antonio
Austin,480,2024-07-12 15:00:00,0.05118113,0.045275615,0.0164342092,0.1171135872,0.1248134854,2024,2024-07,12,15,Austin||480,15,2,0.1666666667,early_tertile,early_half,middle_month,year_2024,year_2024_contains_austin_san_antonio
Austin,481,2024-07-13 14:00:00,0.02755907,0.01574804,0.005791424598,0.04695458667,0.1386977466,2024,2024-07,13,14,Austin||481,15,3,0.2333333333,early_tertile,early_half,middle_month,year_2024,year_2024_contains_austin_san_antonio
Austin,482,2024-07-18 08:00:00,0.513779805,0.395669505,0.04297045833,0.1898500668,0.110259057,2024,2024-07,18,8,Austin||482,15,4,0.3,early_tertile,early_half,middle_month,year_2024,year_2024_contains_austin_san_antonio
Austin,483,2024-07-21 17:00:00,0.29133874,0.24015761,0.02164519741,0.09318860247,0.108858347,2024,2024-07,21,17,Austin||483,15,5,0.3666666667,middle_tertile,early_half,late_month,year_2024,year_2024_contains_austin_san_antonio
Austin,484,2024-07-22 14:00:00,0.005905515,0.005905515,0.01704210899,0.1084480967,0.1310122947,2024,2024-07,22,14,Austin||484,15,6,0.4333333333,middle_tertile,early_half,late_month,year_2024,year_2024_contains_austin_san_antonio
Austin,485,2024-07-22 23:00:00,0.3543309,0.20078751,0.03052262292,0.1053035213,0.1831544337,2024,2024-07,22,23,Austin||485,15,7,0.5,middle_tertile,early_half,late_month,year_2024,year_2024_contains_austin_san_antonio
Austin,486,2024-07-23 03:00:00,0.005905515,0.005905515,0.03052262292,0.1806597614,0.1435936695,2024,2024-07,23,3,Austin||486,15,8,0.5666666667,middle_tertile,late_half,late_month,year_2024,year_2024_contains_austin_san_antonio
Austin,487,2024-07-23 11:00:00,0.490157745,0.44094512,0.03052262292,0.2254069291,0.1104156935,2024,2024-07,23,11,Austin||487,15,9,0.6333333333,middle_tertile,late_half,late_month,year_2024,year_2024_contains_austin_san_antonio
Austin,488,2024-07-23 15:00:00,0.084645715,0.045275615,0.01805766215,0.08044947701,0.1159705655,2024,2024-07,23,15,Austin||488,15,10,0.7,late_tertile,late_half,late_month,year_2024,year_2024_contains_austin_san_antonio
