feature_set,feature_description,objective_id,objective_description,heldout_city,n_features,n_tokens,n_events,spearman,top_1pct_value_capture,top_5pct_value_capture,top_10pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Austin,7,18007,15,0.7231495669,0.9540352032,0.9596167716,0.9428740066,0.9634528048,0.8157741348,0.04038322839
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Chicago,7,26081,13,0.4183740243,0.990499092,0.9714301274,0.9707832449,0.9764912175,0.8182275985,0.02856987257
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Dallas,7,12000,10,0.7484391758,0.6696037685,0.8292498315,0.8521596736,0.7825687089,0.1666666667,0.1707501685
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Houston,7,4800,4,0.723962438,0.9690579116,0.9497992813,0.9680583245,0.9605456983,0.8,0.05020071873
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,New York,7,50454,24,0.3756337595,0.9284009295,0.9093976681,0.9082953021,0.9113010676,0.6565494171,0.09060233185
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,33719,20,0.5970480747,0.965683408,0.9653020332,0.966550682,0.9693936739,0.7900779874,0.03469796684
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,San Antonio,7,25076,19,0.7136885907,0.9589015631,0.957190289,0.9764622834,0.9648412308,0.7343595045,0.04280971097
factorized_low_dim,seven-feature activated law components,O2_event_centered_log,within-event centered log-value regression,Austin,7,18007,15,0.7182887496,1,0.9545685777,0.9536698365,0.9661410405,0.518287796,0.04543142231
factorized_low_dim,seven-feature activated law components,O2_event_centered_log,within-event centered log-value regression,Chicago,7,26081,13,0.4214498858,0.847567672,0.922738498,0.9103460219,0.9170525352,0.6863687097,0.07726150196
factorized_low_dim,seven-feature activated law components,O2_event_centered_log,within-event centered log-value regression,Dallas,7,12000,10,0.7892294252,0.7501308475,0.888504582,0.9088726241,0.8376477474,0.4666666667,0.111495418
factorized_low_dim,seven-feature activated law components,O2_event_centered_log,within-event centered log-value regression,Houston,7,4800,4,0.7381573974,0.9930737507,0.8649512244,0.9043186715,0.898715912,0.6375,0.1350487756
factorized_low_dim,seven-feature activated law components,O2_event_centered_log,within-event centered log-value regression,New York,7,50454,24,0.3420028821,0.9254999981,0.9404458792,0.9584344506,0.9329749467,0.7666173098,0.05955412076
factorized_low_dim,seven-feature activated law components,O2_event_centered_log,within-event centered log-value regression,Philadelphia,7,33719,20,0.5560187772,0.7521388737,0.8570117482,0.9312001684,0.8086596534,0.530128549,0.1429882518
factorized_low_dim,seven-feature activated law components,O2_event_centered_log,within-event centered log-value regression,San Antonio,7,25076,19,0.6917800783,0.8676469965,0.9455013528,0.9627259048,0.9313060671,0.7393757215,0.05449864717
factorized_low_dim,seven-feature activated law components,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Austin,7,18007,15,0.7211298707,0.9523582777,0.9412821958,0.9451783083,0.8819837187,0.7491803279,0.05871780424
factorized_low_dim,seven-feature activated law components,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Chicago,7,26081,13,0.4180435616,0.9534682613,0.965891642,0.9619528175,0.967110346,0.811391066,0.03410835797
factorized_low_dim,seven-feature activated law components,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Dallas,7,12000,10,0.7309045559,0.6761706589,0.8266934421,0.8554366155,0.7828117809,0.1666666667,0.1733065579
factorized_low_dim,seven-feature activated law components,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Houston,7,4800,4,0.7175910347,0.9690579116,0.9497992813,0.9405817827,0.960015935,0.8,0.05020071873
