feature_set,feature_description,objective_id,objective_description,n_features,n_cities,n_events,mean_city_spearman,mean_event_spearman,mean_event_top_1pct_value_capture,mean_event_top_5pct_value_capture,mean_event_top_10pct_value_capture,mean_event_top_5pct_ndcg,mean_event_top_5pct_precision,mean_event_top_5pct_regret
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,7,7,105,0.6143279471,0.8832169592,0.929273388,0.9374546558,0.9413333961,0.9371917168,0.697636322,0.06254534418
factorized_low_dim,seven-feature activated law components,O3_top_tail_weighted_log,log-value regression with top-tail action weights,7,7,105,0.6098499619,0.8707185215,0.9162732772,0.9323361721,0.9356857979,0.9212119209,0.6967952581,0.06766382787
factorized_low_dim,seven-feature activated law components,O2_event_centered_log,within-event centered log-value regression,7,7,105,0.6081324565,0.9089873344,0.8688767007,0.9174708726,0.9406073251,0.9013766357,0.6377457329,0.08252912737
factorized_low_dim,seven-feature activated law components,O5_event_zscore_log,within-event standardized log-value regression,7,7,105,0.6085794935,0.9076588086,0.8400673447,0.9081927236,0.9369087759,0.8910090608,0.614295973,0.09180727638
factorized_low_dim,seven-feature activated law components,O4_rank_percentile,within-event target rank-percentile regression,7,7,105,0.6035113018,0.8879749035,0.8394696865,0.8977985438,0.932017898,0.8828372658,0.5880595761,0.1022014562
full_additive,full additive action-value features,O2_event_centered_log,within-event centered log-value regression,30,7,105,0.7508508626,0.9395834703,0.9898073278,0.978665883,0.9801815257,0.9816468323,0.8007981353,0.02133411704
full_additive,full additive action-value features,O5_event_zscore_log,within-event standardized log-value regression,30,7,105,0.7031108795,0.9341716298,0.9862939283,0.975249604,0.9755546902,0.9778920134,0.7920822055,0.02475039602
full_additive,full additive action-value features,O1_log_value,ordinary log marginal-value regression,30,7,105,0.9419407188,0.9436479963,0.9363491181,0.9624269436,0.9656906747,0.9515042799,0.7874287634,0.03757305642
full_additive,full additive action-value features,O4_rank_percentile,within-event target rank-percentile regression,30,7,105,0.6874256534,0.9127775116,0.9634625384,0.954167389,0.9629719704,0.9569256376,0.7013096341,0.04583261103
full_additive,full additive action-value features,O3_top_tail_weighted_log,log-value regression with top-tail action weights,30,7,105,0.9396336012,0.9329741017,0.9193720708,0.9535247854,0.9585965036,0.9413744347,0.7599472608,0.04647521462
full_interaction,full additive features plus explicit interaction terms,O2_event_centered_log,within-event centered log-value regression,39,7,105,0.7390695911,0.9288389818,0.9847821711,0.9736891136,0.9726730003,0.9764724944,0.7635894931,0.02631088644
full_interaction,full additive features plus explicit interaction terms,O5_event_zscore_log,within-event standardized log-value regression,39,7,105,0.6973804239,0.9221411541,0.9829141315,0.9728775067,0.9725603614,0.9746007925,0.7798194014,0.02712249334
full_interaction,full additive features plus explicit interaction terms,O4_rank_percentile,within-event target rank-percentile regression,39,7,105,0.6868539578,0.9166873641,0.9866392166,0.9710863225,0.9738741915,0.975429698,0.7620574543,0.02891367752
full_interaction,full additive features plus explicit interaction terms,O1_log_value,ordinary log marginal-value regression,39,7,105,0.9367279067,0.9323625604,0.9332263891,0.9510849329,0.9595002164,0.947242146,0.7515857132,0.04891506709
full_interaction,full additive features plus explicit interaction terms,O3_top_tail_weighted_log,log-value regression with top-tail action weights,39,7,105,0.9379113463,0.9316013278,0.922045817,0.9482430971,0.959695621,0.9434448347,0.7435106361,0.05175690286
